;dia_semana;horario;uf;br;km;municipio;classificacao_acidente;sentido_via;condicao_metereologica;tipo_pista;uso_solo;latitude;longitude;ponte;declive;desvio_temporario;aclive;rotatoria;viaduto;curva;em_obras;reta;retorno_regulamentado;tunel;intersecao_de_vias;pista_molhada;ano;mes;dia;feriado;turno;vel_max;vel_min;latitude_radar;longitude_radar;altimetria_ponto;altimetria_antes;altimetria_depois;distancia_radar;proba_fatal;proba_leve;proba_feridos
472648;1.0;0.503202846975089;MG;40.0;0.42696629213483145;0.10246575342465752;1;0.0;0.2;0.0;1.0;-19.92372561;-44.01700789;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8181818181818182;0.7666666666666667;0.4296875;1.0;1.0;1.0;0.6374797269036052;0.0;0.603480422622747;0.603480422622747;0.5997474747474748;0.9750452782309855;0.0291158;0.15936427;0.81151986
436338;0.16666666666666666;0.9231316725978649;MG;40.0;0.37479935794542535;0.9008219178082191;1;0.0;0.2;0.0;0.0;-19.45038924;-44.3166822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.3666666666666667;0.5390625;0.6666666666666666;1.0;1.0;0.6374797269036052;0.0;0.5021752641392169;0.5021752641392169;0.5107323232323232;0.9750452782309855;0.04630628;0.31178504;0.6419087
484098;0.3333333333333333;0.6526690391459076;MG;40.0;0.5914125200642054;0.8241095890410959;2;0.5;0.0;1.0;0.0;-21.37609516;-43.56993701;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9999999999999999;0.6666666666666666;0.46875;1.0;0.0;0.0;0.6374797269036052;0.0;0.5543816034804226;0.5543816034804226;0.5631313131313131;0.9750452782309855;0.047768366;0.43114483;0.5210868
450890;0.6666666666666666;0.25409252669039145;MG;40.0;0.6325040128410915;0.484931506849315;1;0.5;0.2;0.0;0.0;-21.74815906;-43.44533222;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4545454545454545;0.9666666666666667;0.96875;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.5220633934120571;0.5220633934120571;0.5164141414141414;0.9750452782309855;0.04908127;0.326043;0.62487566
442502;1.0;0.4889679715302491;MG;40.0;0.4875601926163724;0.24876712328767123;1;0.5;0.2;1.0;0.0;-20.47579776;-43.84269847;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.5;0.6171875;1.0;0.0;0.0;0.6374797269036052;0.0;0.5898073337476694;0.5898073337476694;0.5896464646464646;0.9750452782309855;0.18940517;0.3520015;0.4585933
455311;0.0;0.4818505338078292;MG;40.0;0.4225521669341894;0.25095890410958904;1;0.0;0.2;0.0;1.0;-19.89832254;-44.0499205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.5454545454545454;0.7333333333333333;0.140625;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.5413300186451212;0.5413300186451212;0.5460858585858586;0.9750452782309855;0.017348966;0.19318727;0.78946376
470917;0.8333333333333333;0.7309608540925268;MG;40.0;0.2678972712680578;0.31671232876712324;1;0.0;0.6000000000000001;1.0;0.0;-18.60700106;-45.00995636;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8181818181818182;0.43333333333333335;0.515625;1.0;0.0;0.0;0.6374797269036052;0.0;0.39341205717837163;0.39341205717837163;0.3952020202020203;0.9750452782309855;0.17655863;0.25653177;0.56690955
452203;0.6666666666666666;0.3252669039145908;MG;40.0;0.027528089887640446;0.644931506849315;1;0.5;0.2;0.0;0.0;-17.18867389;-46.92301984;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.2;0.015625;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.5705407085146054;0.5705407085146054;0.5795454545454546;0.9750452782309855;0.018007826;0.22137526;0.7606169
450925;0.6666666666666666;0.2825622775800712;MG;40.0;0.5449438202247191;0.7452054794520547;0;0.5;0.2;0.0;0.0;-21.04464087;-43.76031183;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4545454545454545;0.9666666666666667;0.96875;0.3333333333333333;0.0;0.0;0.6374797269036052;0.0;0.7358607830950901;0.7358607830950901;0.75;0.9750452782309855;0.06733857;0.33797032;0.5946911
475949;0.8333333333333333;0.4889679715302491;MG;40.0;0.3596308186195827;0.6515068493150684;1;0.0;0.2;0.0;1.0;-19.30240508;-44.37700868;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.3333333333333333;0.46875;1.0;1.0;1.0;0.6374797269036052;0.0;0.46674953387197016;0.46674953387197016;0.4703282828282829;0.9750452782309855;0.032749258;0.1703987;0.79685205
448395;0.6666666666666666;0.9444839857651246;MG;40.0;0.5761637239165329;0.08493150684931507;1;0.0;0.0;0.0;0.0;-21.26034802;-43.66189055;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4545454545454545;0.5;0.859375;0.6666666666666666;1.0;1.0;0.6374797269036052;0.0;0.6718458669981354;0.6718458669981354;0.6824494949494949;0.9750452782309855;0.011902148;0.61046124;0.3776366
457992;0.0;0.6740213523131673;MG;40.0;0.4101123595505618;0.7534246575342465;1;0.0;0.2;0.0;0.0;-19.78164295;-44.11733194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6363636363636364;0.16666666666666669;0.25;1.0;1.0;1.0;0.6374797269036052;0.0;0.5543816034804226;0.5543816034804226;0.5593434343434344;0.9750452782309855;0.020825392;0.26380327;0.7153713
436383;0.3333333333333333;0.30391459074733096;MG;40.0;0.6341091492776886;0.484931506849315;1;0.5;0.2;0.0;1.0;-21.77130707;-43.43618608;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.4;0.546875;0.3333333333333333;0.0;0.0;0.6374797269036052;0.0;0.5475450590428838;0.5475450590428838;0.5454545454545454;0.9750452782309855;0.0442033;0.3811759;0.5746208
436218;0.16666666666666666;0.2754448398576513;MG;40.0;0.41412520064205455;0.7534246575342465;1;0.0;0.6000000000000001;0.0;1.0;-19.81628624;-44.08960124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.3666666666666667;0.5390625;0.3333333333333333;0.0;0.0;0.6374797269036052;0.0;0.559975139838409;0.5692977004350528;0.5688131313131313;0.9750452782309855;0.046685517;0.2711775;0.682137
454864;0.6666666666666666;0.40355871886121;MG;40.0;0.5747191011235955;0.08493150684931507;1;0.5;0.6000000000000001;0.0;0.0;-21.271217;-43.649216;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.6666666666666666;0.125;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.6836544437538844;0.6836544437538844;0.6811868686868687;0.9750452782309855;0.0134217385;0.27797595;0.70860225
